japanese,hiragana,english,vocabularies,grammars
彼は元気です,かれはげんきです,He is fine,元気,
彼女は美しいです,かのじょはうつくしいです,She is beautiful,美しい,
今日は暑い日です,きょうはあついひです,Today is a hot day,暑い|日,
昨日は雨が降りました,きのうはあめがふりました,It rained yesterday,昨日|雨,
私の家は広いです,わたしのいえはひろいです,My house is spacious,家|広い,
彼は速いランナーです,かれははやいらんなーです,He is a fast runner,速い,
猫はかわいい動物です,ねこはかわいいどうぶつです,Cats are cute animals,猫|かわいい|動物,
冬は寒い季節です,ふゆはさむいきせつです,Winter is a cold season,冬|寒い|季節,
私の友達は親切です,わたしのともだちはしんせつです,My friend is kind,友達|親切,
日本の文化は興味深いです,にほんのぶんかはきょうみぶかいです,Japanese culture is fascinating,日本|文化|興味深い,
映画を見るのが好きです,えいがをみるのがすきです,I like to watch movies,映画|好き,
新しい本を買いました,あたらしいほんをかいました,I bought a new book,新しい|本,
お寺で祈りました,おてらでいのりました,I prayed at the temple,お寺|祈り,
今夜はレストランで食事します,こんやはれすとらんでしょくじします,I will have dinner at a restaurant tonight,今夜|レストラン|食事,
彼は学校に行っています,かれはがっこうにいっています,He is going to school,彼|学校,
私の家族は楽しい時間を過ごしました,わたしのかぞくはたのしいじかんをすごしました,My family had a great time,家族|楽しい|時間|過ごす,
春に桜が咲きます,はるにさくらがさきます,Cherry blossoms bloom in spring,春|桜|咲く,
料理はとても美味しいです,りょうりはとてもおいしいです,This dish is very delicious,料理|美味しい,
彼は音楽が上手です,かれはおんがくがじょうずです,He is good at music,彼|音楽|上手,
彼女は美術館で絵を見ました,かのじょはびじゅつかんでえをみました,She saw paintings at the art gallery,彼女|美術館|絵,
山の頂上に行きたいです,やまのちょうじょうにいきたいです,I want to go to the top of the mountain,山|頂上,
彼は外国語を話すことができます,かれはがいこくごをはなすことができます,He can speak foreign languages,彼|外国語,
夏に海で泳ぎます,なつにうみでおよぎます,I swim in the sea during the summer,夏|海|泳ぎ,
彼女は素晴らしい歌手です,かのじょはすばらしいかしゅです,She is an amazing singer,彼女|歌手,
新しい車を買いたいです,あたらしいくるまをかいたいです,I want to buy a new car,新しい|車,
彼は毎朝ジョギングをします,かれはまいあさじょぎんぐをします,He goes jogging every morning,彼|毎朝|ジョギング,
祭りで楽しい時間を過ごしました,まつりでたのしいじかんをすごしました,I had a great time at the festival,祭り|楽しい|時間|過ごす,
雪が積もりました,ゆきがつもりました,Snow has piled up,雪|積もる,
料理は辛いです,りょうりはからいです,This dish is spicy,料理|辛い,
彼女は美しい花を育てています,かのじょはうつくしいはなをそだてています,She is growing beautiful flowers,彼女|美しい|花|育てる,
彼女はピアノを弾きます,かのじょはぴあのをひきます,She plays the piano,彼女|ピアノ,
新しい友達を作りました,あたらしいともだちをつくりました,I made a new friend,新しい|友達,
秋に紅葉が美しいです,あきにこうようがうつくしいです,Autumn leaves are beautiful in the fall,秋|紅葉|美しい,
彼は料理が上手です,かれはりょうりがじょうずです,He is good at cooking,彼|料理|上手,
公園でピクニックを楽しんでいます,こうえんでぴくにっくをたのしんでいます,We are enjoying a picnic in the park,公園|ピクニック|楽しむ,
雨の日は家で読書します,あめのひはいえでどくしょします,I read books at home on rainy days,雨の日|家|読書,
彼女は野菜を育てています,かのじょはやさいをそだてています,She is growing vegetables,彼女|野菜|育てる,
昼ごはんは寿司を食べます,ひるごはんはすしをたべます,I will have sushi for lunch,昼ごはん|寿司|食べる,
日本の祭りは楽しいです,にほんのまつりはたのしいです,Japanese festivals are fun,日本|祭り|楽しい,
夏休みに旅行に行きます,なつやすみにりょこうにいきます,I will travel during the summer vacation,夏休み|旅行|行く,
秋に収穫祭が行われます,あきにしゅうかくさいがおこなわれます,The harvest festival is held in the fall,秋|収穫祭|行う,
彼女は美味しい料理を作ります,かのじょはおいしいりょうりをつくります,She cooks delicious dishes,彼女|美味しい|料理|作る,
今週末は友達とピクニックに行きます,こんしゅうまつはともだちとぴくにっくにいきます,I am going for a picnic with friends this weekend,今週末|友達|ピクニック|行く,
桜の花が咲いています,さくらのはながさいています,Cherry blossoms are in full bloom,桜の花|咲く,
彼は山でキャンプをします,かれはやまできゃんぷをします,He goes camping in the mountains,彼|山|キャンプ,
日本の寺院は静かです,にほんのてらいんはしずかです,Japanese temples are peaceful,日本|寺院|静か,
彼女は町で買い物をしました,かのじょはまちでかいものをしました,She went shopping in town,彼女|町|買い物,
春に新しい花が咲きます,はるにあたらしいはながさきます,New flowers bloom in spring,春|新しい|花|咲く,
私は家にいます,わたしはいえにいます,I am at home,家,
私だ,わたしだ,I am,私,だ
綺麗だ,きれいだ,It is beautiful,綺麗,だ
彼女は賢いだ,かのじょはかしこいだ,She is intelligent,彼女|賢い,だ
これは新しいだ,これはあたらしいだ,This is new,これ|新しい,だ
彼は静かだ,かれはしずかだ,He is quiet,彼|静か,だ
それは難しいだ,それはむずかしいだ,It is difficult,それ|難しい,だ
おいしいだ,おいしいだ,It's delicious,おいしい,だ
彼らは元気だ,かれらはげんきだ,They are energetic,彼ら|元気,だ
彼女たちは優しいだ,かのじょたちはやさしいだ,They are kind,彼女たち|優しい,だ
天気はいいだ,てんきはいいだ,The weather is nice,天気|いい,だ
そのプロジェクトには多くの時間が掛かりました,そのぷろじぇくとにはおおくのじかんがかかりました,That project took a lot of time,多くの|プロジェクト|時間|掛かる,ました
この旅行はたくさんのお金が掛かります,このりょこうはたくさんのおかねがかかります,This trip costs a lot of money,旅行|お金|掛かる,ます
新しい車を買うと多くのお金が掛かります,あたらしいくるまをかうとおおくのおかねがかかります,Buying a new car takes a lot of money,多くの|新しい|車|買う|お金|掛かる,ます
銀行は図書館の隣です,ぎんこうはとしょかんのとなりです,The bank is next to the library,銀行|図書館|隣
かさはテーブルの下です,かさはてーぶるのしたです,The umbrella is under the table,かさ|テーブル|下
レストランはデパートと病院の間です,れすとらんはでぱーととびょういんのあいだです,The restaurant is between the department store and the hospital,レストラン|デパート|病院|間
私はモスバーガーの前でメアリーさんを待ちました,わたしはもすばーがーのまえでめありーさんをまちました,I waited for Mary in front of Mos Burger,私|前|待つ
学校は公園の後ろです,がっこうはこうえんのうしろです,The school is behind the park,学校|公園|後ろ
テレビはソファの上です,てれびはそふぁのうえです,The TV is on the sofa,テレビ|ソファ|上
本は机の中です,ほんはつくえのなかです,The book is inside the desk,本|机|中
スーパーマーケットは家の近くです,すーぱーまーけっとはいえのちかくです,The supermarket is near the house,スーパーマーケット|家|近く
パン屋は郵便局の横です,ぱんやはゆうびんきょくのよこです,The bakery is next to the post office,パン屋|郵便局|横
ベッドは窓の下です,べっどはまどのしたです,The bed is below the window,ベッド|窓|下



