japanese,hiragana,english
元気,げんき,healthy
美しい,うつくしい,beautiful
暑い,あつい,hot
日,ひ,day
昨日,きのう,yesterday
雨,あめ,rain
家,いえ,house
速い,はやい,fast
猫,ねこ,cat
かわいい,かわいい,cute
冬,ふゆ,winter
寒い,さむい,cold
季節,きせつ,season
友達,ともだち,friend
親切,しんせつ,kind
優しい,やさしい,kind
日本,にほん,Japan
文化,ぶんか,culture
興味深い,きょうみぶかい,fascinating
映画,えいが,movie
好き,すき,like
新しい,あたらしい,new
本,ほん,book
お寺,おてら,temple
祈り,いのり,prayer
今夜,こんや,tonight
レストラン,れすとらん,restaurant
食事,しょくじ,meal
学校,がっこう,school
家族,かぞく,family
楽しい,たのしい,fun
時間,じかん,time
桜,さくら,cherry blossom
料理,りょうり,cuisine
美味しい,おいしい,delicious
音楽,おんがく,music
上手,じょうず,skilled
美術館,びじゅつかん,art gallery
絵,え,painting
山,やま,mountain
頂上,ちょうじょう,summit
外国語,がいこくご,foreign language
海,うみ,sea
泳ぎ,およぎ,swimming
素晴らしい,すばらしい,amazing
歌手,かしゅ,singer
車,くるま,car
毎朝,まいあさ,every morning
ジョギング,じょぎんぐ,jogging
祭り,まつり,festival
雪,ゆき,snow
辛い,からい,spicy
花,はな,flower
広い,ひろい,spacious
積もる,つもる,to pile up
育てる,そだてる,to raise
過ごす,すごす,to spend time
動物,どうぶつ,animal
春,はる,spring
咲く,さく,to bloom
野菜,やさい,vegetables
育てる,そだてる,grow
ピアノ,ぴあの,piano
秋,あき,autumn
紅葉,こうよう,autumn leaves
公園,こうえん,park
ピクニック,ぴくにっく,picnic
楽しむ,たのしむ,to enjoy
雨の日,あめのひ,rainy day
家,いえ,house
読書,どくしょ,reading
昼ごはん,ひるごはん,lunch
寿司,すし,sushi
夏休み,なつやすみ,summer vacation
行く,いく,to go
収穫祭,しゅうかくさい,harvest festival
行う,おこなう,to perform
今週末,こんしゅうまつ,this weekend
山,やま,mountain
キャンプ,きゃんぷ,camping
静か,しずか,quiet
買い物,かいもの,shopping
難しい,むずかしい,difficult
彼ら,かれら,they
彼女たち,かのじょたち,they
天気,てんき,weather
いい,いい,nice
メモ,めも,note
晩ごはん,ばんごはん,dinner
重い,おもい,heavy
寺院,てらいん,temple
疲れた,つかれた,tired
決める,きめる,decide
町,まち,town
綺麗,きれい,beautiful
賢い,かしこい,smart
難しい,むずかしい,difficult
掛かる,かかる,to take (time or money)
壁,かべ,wall
服,ふく,clothes
クローゼット,くろーぜっと,closet
写真,しゃしん,photo
テーブル,てーぶる,table
プロジェクト,ぷろじぇくと,project
お金,おかね,money
旅行,りょこう,trip
